section,protocol,model,file,description
Appendix,GroupKFold,1D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\groupkfold_features1d_cnn_all_fold_learning_curves.png,Train/validation accuracy and loss for every outer fold.
Appendix,GroupKFold,1D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\groupkfold_features1d_cnn_all_fold_confusion_matrices.png,Epoch-level confusion matrix for every outer fold.
Appendix,GroupKFold,1D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\large_confusion_matrices\groupkfold_features1d_cnn_confusion_matrices_all_folds_3_columns_large_text_sl_6505x6593_title_visible.png,"All epoch-level confusion matrices in one high-resolution, three-column sheet with enlarged labels."
Appendix,GroupKFold,1D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\large_confusion_matrices\groupkfold_features1d_cnn_confusion_matrices_part_1.png,"Large, page-sized epoch-level confusion matrices for outer folds in appendix part 1/2."
Appendix,GroupKFold,1D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\large_confusion_matrices\groupkfold_features1d_cnn_confusion_matrices_part_2.png,"Large, page-sized epoch-level confusion matrices for outer folds in appendix part 2/2."
Appendix,GroupKFold,2D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\groupkfold_features2d_cnn_all_fold_learning_curves.png,Train/validation accuracy and loss for every outer fold.
Appendix,GroupKFold,2D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\groupkfold_features2d_cnn_all_fold_confusion_matrices.png,Epoch-level confusion matrix for every outer fold.
Appendix,GroupKFold,2D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\large_confusion_matrices\groupkfold_features2d_cnn_confusion_matrices_all_folds_3_columns_large_text_sl_6505x6593_title_visible.png,"All epoch-level confusion matrices in one high-resolution, three-column sheet with enlarged labels."
Appendix,GroupKFold,2D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\large_confusion_matrices\groupkfold_features2d_cnn_confusion_matrices_part_1.png,"Large, page-sized epoch-level confusion matrices for outer folds in appendix part 1/2."
Appendix,GroupKFold,2D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\large_confusion_matrices\groupkfold_features2d_cnn_confusion_matrices_part_2.png,"Large, page-sized epoch-level confusion matrices for outer folds in appendix part 2/2."
Appendix,GroupKFold,Hybrid CNN,outputs\thesis_figures\model_diagnostics\appendix\groupkfold_hybrid_cnn_all_fold_learning_curves.png,Train/validation accuracy and loss for every outer fold.
Appendix,GroupKFold,Hybrid CNN,outputs\thesis_figures\model_diagnostics\appendix\groupkfold_hybrid_cnn_all_fold_confusion_matrices.png,Epoch-level confusion matrix for every outer fold.
Appendix,GroupKFold,Hybrid CNN,outputs\thesis_figures\model_diagnostics\appendix\large_confusion_matrices\groupkfold_hybrid_cnn_confusion_matrices_all_folds_3_columns_large_text_sl_6505x6593_title_visible.png,"All epoch-level confusion matrices in one high-resolution, three-column sheet with enlarged labels."
Appendix,GroupKFold,Hybrid CNN,outputs\thesis_figures\model_diagnostics\appendix\large_confusion_matrices\groupkfold_hybrid_cnn_confusion_matrices_part_1.png,"Large, page-sized epoch-level confusion matrices for outer folds in appendix part 1/2."
Appendix,GroupKFold,Hybrid CNN,outputs\thesis_figures\model_diagnostics\appendix\large_confusion_matrices\groupkfold_hybrid_cnn_confusion_matrices_part_2.png,"Large, page-sized epoch-level confusion matrices for outer folds in appendix part 2/2."
